value,class
all four of england s champions league representatives have reached the knockout stages for the first time  arsenal and chelsea are seeded as group winners  while runners up manchester united and liverpool are not  rules stipulate that teams from the same country or group will be kept apart in the draw on 17 december  the favourites are chelsea and barcelona  and real madrid  the two milan sides  juventus and bayern munich are among the 16 still in the hat  steven gerrard s last gasp wonder strike secured qualification for against olympiakos on wednesday evening  ac milan  bayer leverkusen  internazionale  juventus  lyon  who had already qualified  fielded a second string side and went down 3 0 to fenerbahce  ac milan  bayer leverkusen  internazionale  juventus  monaco  on tuesday  finished top of their group with a 5 1 win over the rosenborg after drawing four of their first five matches  barcelona  bayern munich  porto  real madrid  werder bremen   who had already qualified lost 2 1 to porto as jose mourinho made an unhappy return to his former club  barcelona  bayern munich  psv eindhoven  real madrid  werder bremen,news article
the great khan is dead  his vast empire hangs in the balance  an empire he forged with raw courage  guile  tactical brilliance  unswerving dedication to his people  and the force of his own indomitable will  now the very qualities that united the fierce mongol tribes threaten to tear them apart  as the heirs of genghis maneuver for dominance  in the end  only one can command     the empire of silver conn iggulden’s  1 internationally bestselling epics of historical fiction have enthralled millions of readers around the world  in his spectacular novels about the life and legacy of genghis khan  he has traced the path of the legendary conqueror from the harsh grasslands of his youth to the pinnacle of an unprecedented empire  now  even as they struggle for supremacy among themselves  genghis’s sons and grandsons extend the reach of his vision  taking their armies farther than ever before  into southern china and across the steppes and rugged mountains of russia to the vulnerable heart of europe  where they will face the most courageous warriors the west commands  genghis’s tough and canny heir  ogedai  is on the verge of being proclaimed the new khan  but ogedai has mysteriously delayed his coronation ceremony to complete a fantastic project many deem a folly  the building of karakorum  a magnificent city amid the wild plains  his puzzling decision emboldens his arrogant brother chagetai to violently challenge him  while their noble sibling tolui and his beautiful  wily wife  sorhatani  will be caught between the two chagetai’s attempt at rebellion reveals shocking truths about ogedai’s health and imperiled future  as one brother awaits his fate  another awaits his moment to seize power  while spies and assassins play out the ambitions and destinies of their masters  with his celebrated synthesis of riveting storytelling and peerless historical detail  conn iggulden takes his saga of the great mongol khans to unforgettable new heights  bringing these fabled conquerors and their singular people to vivid life for a new generation of readers,book description
“buck up ” “stop feeling sorry for yourself ” “don’t ruin everything ” when you are anxious  sad  angry  or lonely  do you hear this self critical voice  what would happen if  instead of fighting difficult emotions  we accepted them  over his decades of experience as a therapist and mindfulness meditation practitioner  dr  christopher germer has learned a paradoxical lesson  we all want to avoid pain  but letting it in  and responding compassionately to our own imperfections  without judgment or self blame  are essential steps on the path to healing  this wise and eloquent book illuminates the power of self compassion and offers creative  scientifically grounded strategies for putting it into action  you’ll master practical techniques for living more fully in the present moment    especially when hard to bear emotions arise    and for being kind to yourself when you need it the most  free audio downloads of the meditation exercises are available at the author s website  www mindfulselfcompassion org  association for behavioral and cognitive therapies  abct  self help book of merit,book description
apple has taken more legal action to stop online leaks of its new products  the computer giant has sued three men for releasing preview versions of its latest mac osx software onto file sharing sites prior to its release  it said two versions of the operating system  codenamed tiger  were put onto the net in october and december  it is the second time in two weeks apple has taken legal action to protect its future products  tiger is due to be shipped in early 2005  last week  it filed a lawsuit against  unnamed individuals  who leaked details about new products onto the web  the latest action was against members of the apple developer connection  a group of programmers which gets to see test versions of upcoming software so they can develop or change their own programs to work with them   members of apple developer connection receive advance copies of apple software under strict confidentiality agreements  which we take very seriously to protect our intellectual property   apple said in a statement  it added that its future financial results were very much dependent on developing and improving its operating systems and other software  it is thought the men used sites which employ bittorrent technology  with bittorrent technology  sites do not host actual files being shared  instead they host a link that points people to others that have the particular file  last week  the motion picture association of america launched a legal campaign targeting websites that operate using the bittorrent system in an effort to clamp down on movie piracy  apple is no stranger to taking legal action against those who leak product information  in december 2002  it sued a former contractor who allegedly put drawings  images and engineering details of its powermac g4 computer online  the latest action was filed on monday in the us district court in california  it comes just weeks before the macworld conference in san francisco  used to showcase new products,news article
two uk gamers are about to embark on a world tour as part of the most lucrative ever global games tournament  aaron foster and david treacy have won the right to take part in a tournament offering  1m in total prize money  the cash will be handed out over 10 separate competitions in a continent hopping contest organised by the cyberathlete professional league  as part of their prize the pair will have their travel costs paid to ensure they can get to the different bouts  the cpl world tour kicks off in mid february and the first leg will be in istanbul  all ten bouts of the tournament will be played throughout 2005  each one in a different country  at each stop  50 000 in prize money will be up for grabs  the tournament champion for each leg of the cpl world tour will walk away with a  15 000 prize  the winner of the grand final will get a prize purse of  150 000 from a total pot of  500 000  winners of each stage of the tour automatically get a place at the next stop  the world tour stops are open to any keen gamer that registers  online registration for the first stop opens this weekend  some pro players are winning a spot at the tour destinations through qualifying events organised by cpl partners  winners at these qualifiers get seeded higher in the elimination parts of each tournament  mr foster and mr treacy get the chance to attend the world tour as members of the uk s four kings gaming clan  towards the end of 2004 four kings staged a series of online painkiller competitions to reveal the uk s top players of the pc game  the best eight players met face to face in a special elimination event in late december where mr foster and mr tracey proved their prowess at painkiller  as part of their prize the pair also get a contract with four kings intel which is one of the uk s few pro gaming teams   there are a lot of people who take gaming very seriously and support their local or national team with the same passion as any other sport   said simon bysshe who filmed the event for four kings and intel  more than 80 000 people have downloaded the movie of the tournament highlights   professional gaming is here to stay and will only grow in popularity   he said,news article
european cross country champion hayley yelling completed a hat trick of wins in the reebok cardiff cross challenge in bute park on sunday afternoon  the part time maths teacher beat irish international jolene byrne by 40 metres in the six kilometre race  another great britain international  louise damen  finished third as part of the contingent representing england  peter riley  who secured bronze for the gb men s team at last month s european championships  won the men s 9km race  riley  representing england  moved away over the last two kilometres to win by 25 metres from ireland s gary murray  glynn tromans   the reigning uk inter countries and england cross country champion   came in third place as he continues his comeback from a five month injury lay off,news article
the stock market in jakarta has seen its biggest slide in a month  after the country doubled the likely cost of rebuilding from the asian tsunami  the fall came as indonesia said it expected debt repayments of up to 30 trillion rupiah   3 2bn  £1 7bn  to be frozen to help pay for the recovery  by monday s close  the jakarta stock exchange was down 2 1  at 1 011 15  bar a slight dip at the new year  the jse had risen steadily by 4 7  since the tsunami hit on 26 december  construction and property companies in particular have gained ground  although banks were among the main fallers on monday  so far  more than 100 000 people are believed to have been killed in indonesia  the country closest to the earthquake which triggered the great wave  on friday  the government said its five year estimate of rebuilding costs for banda aceh province   much of which was flattened by the quake and the tsunami   was 20 trillion rupiah   2 2bn  £1 1bn   twice what it had previously estimated  that cost could be defrayed by temporary debt relief  on monday  indonesian economy minister aburizal bakrie told reporters that the paris club group of creditor countries was expected to freeze 20 30bn rupiah in payments due in 2005 and 2006   we hope we can resume the repayments at least from 2007   mr bakrie said  french finance minister herve gaymard said on sunday that the paris club had already agreed to a moratorium on repayments for tsunami hit countries ahead of its meeting on 12 january,news article
people have unrealistic expectations of forensic science thanks to the success of the csi tv shows  real experts say  evidence submitted to forensic labs has shot up as a result of the programmes  at a time when many have large backlogs  science investigators claim  lawyers also fear the effect because jurors have a distorted view of how forensic evidence is used  the issue was discussed at a major science conference in washington dc  crime scene investigation  csi  and its spin offs  csi  miami and csi  new york  have proven exceptionally popular with audiences on both sides of the atlantic  each episode  a team of forensic investigators goes about solving a crime through the ingenious appliance of science   and the extensive resources at their disposal   the csi effect is basically the perception of the near infallibility of forensic science in response to the tv show   said max houck  who runs a forensic science graduate course at west virginia university  us   this tv show comes on and everyone starts watching it   including the cops and prosecutors   and submissions to forensic laboratories go through the roof   he told the annual meeting of the american association for the advancement of science  aaas   the american forensics expert said there were roughly 200 000 300 000 backlogged dna samples in us labs  yet these constituted just 10  of the total test backlog  said dr houck  forensic pathologist dr patricia mcfeeley said she had started to see the show s influence in dealing with the families of victims   what i find is that families now are more dissatisfied with the investigation than was previously the case   she explained   for example  on television  the toxicology results are available almost instantaneously  but when people find out that it can take several months  they can find that very difficult   dr mcfeeley added that the accuracy with which forensic investigators can determine time of death was far lower than most people s perceptions  the show s influence can follow forensic investigators all the way into the courtroom  making lawyers jittery   prosecutors fear the csi effect with juries because  for example  they wonder   why wasn t everything tested   well  in f,news article
procedures performed    esophagogastroduodenoscopy  preprocedure diagnosis    dysphagia  postprocedure diagnosis    active reflux esophagitis  distal esophageal stricture  ring due to reflux esophagitis  dilated with balloon to 18 mm  procedure    informed consent was obtained prior to the procedure with special attention to benefits  risks  alternatives  risks explained as bleeding  infection  bowel perforation  aspiration pneumonia  or reaction to the medications  vital signs were monitored by blood pressure  heart rate  and oxygen saturation  supplemental o2 given  specifics of the procedure discussed  the procedure was discussed with father and mother as the patient is mentally challenged  he has no complaints of dysphagia usually for solids  better with liquids  worsening over the last 6 months  although there is an emergency department report from last year  he went to the emergency department yesterday with beef jerky  all of this reviewed  the patient is currently on cortef  synthroid  tegretol  norvasc  lisinopril  ddavp  he is being managed for extensive past history due to an astrocytoma  brain surgery  hypothyroidism  endocrine insufficiency  he has not yet undergone significant workup  he has not yet had an endoscopy or barium study performed  he is developmentally delayed due to the surgery  panhypopituitarism  his family history is significant for his father being of mine  also having reflux issues  without true heartburn  but distal esophageal stricture  the patient does not smoke  does not drink  he is living with his parents  since his emergency department visitation yesterday  no significant complaints  large male  no acute distress  vital signs monitored in the endoscopy suite  lungs clear  cardiac exam showed regular rhythm  abdomen obese but soft  extremity exam showed large hands  he was a mallampati score a  asa classification type 2  the procedure discussed with the patient  the patient s mother  risks  benefits  and alternatives discussed  potential alternatives for dysphagia  such as motility disorder  given his brain surgery  given the possibility of achalasia and similar discussed  the potential need for a barium swallow  modified barium swallow  and similar,medical transcript
the man known as cheradenine zakalwe was one of special circumstances  foremost agents  changing the destiny of planets to suit the culture through intrigue  dirty tricks and military action the woman known as diziet sma had plucked him from obscurity and pushed him towards his present eminence  but despite all their dealings she did not know him as well as she thought the drone known as skaffen amtiskaw knew both of these people  it had once saved the woman s life by massacring her attackers in a particularly bloody manner  it believed the man to be a lost cause  but not even its machine could see the horrors in his past ferociously intelligent  both witty and horrific  use of weapons is a masterpiece of science fiction,book description
