value,class
the position is described below  if you want to apply  click the apply now button at the top or bottom of this page  after you click apply now and complete your application  you ll be invited to create a profile  which will let you see your application status and any communications  if you already have a profile with us  you can log in to check status need help if you have a disability and need assistance with the application  you can request a reasonable accommodation  send an email to accessibility  accommodation requests only  other inquiries won t receive a response  regular or temporary regularlanguage fluency  english  required work shift 1st shift  united states of america please review the following job description provide timely and efficient completion of client transactions while maintaining accurate records and thorough proper handling of all monies assigned  deliver superior quality service  identifying and understanding the client s financial needs  cross trained to support sales and service activities as needed essential duties and responsibilitiesfollowing is a summary of the essential functions for this job  other duties may be performed  both major and minor  which are not mentioned below  specific activities may change from time to time  1  ensures a consistent client service experience through primarily handling clients’ transactional needs  including accepting deposits and loan payments  verifying cash and endorsements  cashing checks within limits  issuing money orders  cashier’s checks and redeeming savings bonds 2  performs more complex transactions  with assistance as necessary  such as  large commercial deposits  atm servicing  vault cash ordering  teller cash recycler  close out transactions  cash advances  loan exception clearing 3  supports team sales process by making client calls  checking for client offers  and identifying client needs or opportunities by fulfilling the need or referring the client to the appropriate branch team members or specialist 4  participates fully in all components of the established truist retail community bank leadership routines 5  commits to advancing individual and product knowledge to better serve consumer and business clients by attending sales  service and product knowledge meetings and all applicable traini,job posting
bookkeeperare you passionate about helping people can you imagine going to work every day knowing that you re making a positive difference  kelley uustal trial attorneys have dramatically improved the lives of clients they represent  our landmark cases have helped define standards for success in vindicating the rights of people injured by dangerous products  greedy corporations  and medical negligence  at kelley uustal we put people first  consistently named for the past five years to best places to work  top workplaces  and best companies to work for in florida  kelley uustal offers a rewarding work environment and competitive compensation and benefits packages  required competenciesquickbooks excelword and outlookminimum associates degree in accountinglaw firm accounting experiencefull knowledge of law firm bookkeepingfilevine experience a very strong plus only candidates with quickbooks and excel experience should apply  summaryunder the direct supervision of the controller  this position performs the following functions creates and enters new vendors in quickbooksorganizes  analyzes and sorts new invoices for processing from external and internal vendorsenters new invoices or costs related employee reimbursements into quickbooksworks in conjunction with paralegals obtaining approval of invoicesruns reports regarding pre approved invoices and log into spreadsheets  along with exporting and formattingreconciles vendor statements  in addition to communicating with vendors and service providers to ensure accuracy of all organizational invoices  requesting modification and clarification as requiredmaintains  updates and enters w 9sreconciles bank accountscreates reports in excelmakes journal entriesruns financial reportsother duties as assigned,job posting
billy milligan can be anyone he wants to be       except himself  out of control of his actions  billy milligan was a man tormented by twenty four distinct personalities battling for supremacy over his body—a battle that culminated when he awoke in jail  arrested for the kidnap and rape of three women  in a landmark trial  billy was acquitted of his crimes by reason of insanity caused by multiple personality—the first such court decision in history—bringing to public light the most remarkable and harrowing case of multiple personality ever recorded twenty four people live inside billy milligan  philip  a petty criminal  kevin  who dealt drugs and masterminded a drugstore robbery  april  whose only ambition was to kill billy s stepfather  adalana  the shy  lonely  affection starved lesbian who “used” billy s body in the rapes that led to his arrest  david  the eight year old “keeper of pain”  and all of the others  including men  women  several children  both boys and girls  and the teacher  the only one who can put them all together  you will meet each in this often shocking true story  and you will be drawn deeply into the mind of this tortured young man and his splintered  terrifying world,book description
procedure performed   lumbar puncture  the procedure  benefits  risks including possible risks of infection were explained to the patient and his father  who is signing the consent form  alternatives were explained  they agreed to proceed with the lumbar puncture  permit was signed and is on the chart  the indication was to rule out toxoplasmosis or any other cns infection   description    the area was prepped and draped in a sterile fashion  lidocaine 1  of 5 ml was applied to the l3 l4 spinal space after the area had been prepped with betadine three times  a 20 gauge spinal needle was then inserted into the l3 l4 space  attempt was successful on the first try and several mls of clear  colorless csf were obtained  the spinal needle was then withdrawn and the area cleaned and dried and a band aid applied to the clean  dry area  complications   none  the patient was resting comfortably and tolerated the procedure well  estimated blood loss    none  disposition    the patient was resting comfortably with nonlabored breathing and the incision was clean  dry  and intact  labs and cultures were sent for the usual in addition to some extra tests that had been ordered  the opening pressure was 292  the closing pressure was 190,medical transcript
michael howard has denied his shadow cabinet was split over its decision to back controversial labour plans to introduce id cards  the tory leader said his front bench team had reached a  collective view  after holding a  good discussion   but admitted it was  not an easy issue   he had decided to support the plans as the police said they would help fight terror  crime and illegal immigration  the lib dems have pledged to oppose the bill when it is debated next monday  tory sources say senior party figures had argued vociferously against the id card scheme  among those reported to have serious reservations over the strategy were senior shadow cabinet members david davis  oliver letwin and tim yeo  but mr howard denied mr yeo  his transport and environment spokesman  said the plans  stink   he also said he was confident shadow home secretary mr davis would  set out the position very clearly  when he stands up to debate the matter next week  mr howard said the police had said id cards could  help them foil a terror bomb plot in which people could lose their lives   he added   when the police say that you have to take them seriously   he acknowledged there were  good libertarian arguments  against the cards  but said the shadow cabinet had weighed up all the  conflicting interests  before reaching its decision   i don t pretend that it is an easy decision but at the end of the day a decision has to be taken   he also denied he was afraid of looking  soft  on the issue  compared to labour  the conservatives announced their support for the government plans on monday evening  sources within the party told the bbc mr howard had always been in favour of id cards  and tried to introduce them when he was home secretary  but the tories insisted they would hold ministers to account over the precise purpose of the scheme  they said they would also press labour over whether objectives could be met and whether the home office would be able to deliver them  and they pledged to assess the cost effectiveness of id cards and whether people s privacy would be properly protected   it is important to remember that this bill will take a decade to come into full effect   a spokesman said  lib dem home affairs spokesman mark oaten has branded the id scheme a waste of money and  deeply flawed   he,news article
we are more than a health system  we are a belief system  we believe wellness and sickness are both part of a lifelong partnership  and that everyone could use an expert guide  we work hard  care deeply and reach further to help people uncover their own power to be healthy  we inspire hope  we learn  grow  and achieve more – in our careers and in our communities  job description summary the tla demonstrates the ability to perform phlebotomy and a variety of technical and clerical functions in the laboratory based on the needs of the individual campus  he she performs routine laboratory procedures based on principles of human growth and development according to established lab guidelines using customer focus  teamwork  adaptability to change  problem solving  communication and personal excellence  position handles blood  tissue  fecal matter  sputum  urine  spinal fluid and other body fluids  specimens may be contaminated with infectious diseases including hiv and other blood borne pathogens  minimum qualifications high school or ged  required dl   driver s license   department of motor vehicles specialized knowledge customer service  computer skills  communication skills  medical terminology high school diploma or equivalent 6 months   1 year experience in phlebotomy and or specimen processing associates working in a skilled nursing facility setting are required to have an active driver’s license and carry personal auto insurance work shift day scheduled weekly hours 32 department core lab join us  if your passion is to work in a caring environment if you believe that learning is a life long process if you strive for excellence and want to be among the best in the healthcare industry equal employment opportunity ohiohealth is an equal opportunity employer and fully supports and maintains compliance with all state  federal  and local regulations  ohiohealth does not discriminate against associates or applicants because of race  color  genetic information  religion  sex  sexual orientation  gender identity or expression  age  ancestry  national origin  veteran status  military status  pregnancy  disability  marital status  familial status  or other characteristics protected by law  equal employment is extended to all person in all aspects of the associate employer relations,job posting
vedder price s chicago office is looking for a billing specialist  the billing specialist will be responsible for compiling  managing and executing attorney billing in the accounting department  as the billing specialist  your job duties will include but are not limited to  review and bill attorney hours and disbursements to clientsreview and edit proformas in response to attorney and secretary requestsapply retainer funds as directed by attorneyprocess write offs following firm policyability to execute complex bills in a timely mannerability to understand exception rates  discounts  multipayor  and electronic billingability to handle high volume of bills per monthability to effectively interact and communicate with attorneys  secretaries  and clientsreview and verify accuracy of billing and provide supporting documentation as requiredresearch and respond to inquiries regarding billing issues and problemscreate billing reports and spreadsheets for analyses as requiredorganize and maintain billing filesmay assist in preparing documentation for exhibits in courtreview and enter new clients and matters into the billing systemperform special projects as assigned skills   competencies  ability to prioritize and multi task in a fast paced environmentability to handle confidential information in a discreet  professional mannermust have strong attention to detailability to meet deadlines and use time efficientlyability to demonstrate good common sense and sound judgmentability to work independently  self startermust have strong verbal and written communication skillsexcellent organizational skillsability to be an effective team member and display initiative qualifications   required experience  college degree preferred  5 7 years billing experience in a law firm environment preferred  position also requires the ability to work under pressure to meet strict deadlines  thorough knowledge of e billing system s  required  computer skills  to perform this job successfully  an individual must be proficient in the following software  elite 3e accounting software experience preferredproficient with ms word and excel equal employment opportunity vedder price p c  is an equal opportunity employer  we value and encourage diversity and solicit applications from all qualified applicants witho,job posting
women in the uk film industry earn less than their male counterparts despite being better qualified  according to a study released on wednesday  only 16  of women earn more than £50 000  compared with 30  of men  women make up a third of the workforce  the research was carried out jointly by the uk film council and industry training body skillset  it also found that women in the industry were less likely than men to be married or have dependant children  the study  which claims to be the most in depth so far conducted  found 60  of women in the film industry hold degrees  compared with 39  of men  whilst 17  of men in the industry had no qualifications  this was true for only five per cent of women  in the lower salary bracket  35  of women earn less than £20 000 a year  compared to only 18  of men  the research found very few women worked in the camera  sound  electrical and construction departments  but they made up a majority of those working in make up and hairdressing  uk film council chief executive john woodward said   whilst the uk has benefited hugely from its highly qualified film production workforce there are still many barriers facing people who want to get in and stay in the industry    developing the film production workforce must be underpinned with a commitment to diversity as well as training   the workforce is largely focused around london  with 78  in the industry based in the capital and the south east of england  the industry depends heavily on word of mouth  with 81  being recruited in that way  in total  only five percent of the workforce is made up of ethnic minorities  although in london the figure rises to 24   the necessity of completing unpaid work experience to get into the workforce has also shot up  from 5  before the 1980s  to 45  after 2000,news article
employment type part time shift 12 hour day shift description must have completed smmc nurse externship  required  show evidence of successful completion of an approved cna program upon hire or matriculated in an accredited nursing academic program and have completed a minimum of one year of clinical rotations  performs direct and indirect patient care activities following rns instructions  physician orders  policies  procedures and regulationspractices proper hand washing and principles of infection control and displays competence in the care of isolation patients utilizing disease specific precautions assures room is set up for patient admission and cleared when patient discharged transferred and assures patients have correct identifying wristband displays competence in performing oral and personal hygiene and  skin care  and foley care and assures patients are clean  well groomed  neat  free of odor  dry and properly dresseddemonstrates ability to feed patients  knowledge of dysphasia precautions and calculating and recording intake and output performs and records vital signs  glucose monitoring and weight and heights accuratelytransfers patients safely using proper body mechanics during all activities and duties and accurately uses the bed and chair alarm system keeps patient’s room   hallways and unit clean  neat and orderly and report any maintenance or environmental services needsanswers call lights promptly and communicate any problems  concerns or issues promptly to the nurseworks as a team member demonstrating a positive  supportive and helpful attitude towards patients  families  visitors  co workers and physicians and appropriately seeks assistance of the nurse manager for conflict resolution  our commitment to diversity and inclusion trinity health is a family of 115 000 colleagues and nearly 26 000 physicians and clinicians across 25 states  because we serve diverse populations  our colleagues are trained to recognize the cultural beliefs  values  traditions  language preferences  and health practices of the communities that we serve and to apply that knowledge to produce positive health outcomes  we also recognize that each of us has a different way of thinking and perceiving our world and that these differences often lead to innovative solutions  our dedic,job posting
preoperative diagnosis    intrauterine pregnancy at term with previous cesarean section  secondary diagnoses 1  desires permanent sterilization  2  macrosomia  postoperative diagnoses 1  desires permanent sterilization  2  macrosomia  3  status post repeat low transverse cesarean and bilateral tubal ligation  procedures 1  repeat low transverse cesarean section  2  bilateral tubal ligation  btl   anesthesia    spinal  findings   a viable female infant weighing 7 pounds 10 ounces  assigned apgars of 9 and 9  there was normal pelvic anatomy  normal tubes  the placenta was normal in appearance with a three vessel cord  description of procedure   patient was brought to the operating room with an iv running and a foley catheter in place  satisfactory spinal anesthesia was administered following which a wedge was placed under the right hip  the abdomen was prepped and draped in a sterile fashion  a pfannenstiel incision was made and carried sharply down to the level of fascia  the fascia was incised transversely  the fascia was dissected away from the underlying rectus muscles  with sharp and blunt dissection  rectus muscles were divided in midline  the perineum was entered bluntly  the incision was carried vertically with scissors  transverse incision was made across the bladder peritoneum  the bladder was dissected away from the underlying lower uterine segment  bladder retractor was placed to protect the bladder  the lower uterine segment was entered sharply with a scalpel  incision was carried transversely with bandage scissors  clear amniotic fluids were encountered  the infant was out of the pelvis and was in oblique vertex presentation  the head was brought down into the incision and delivered easily as were the shoulders and body  the mouth and oropharynx were suctioned vigorously  the cord was clamped and cut  the infant was passed off to the waiting pediatrician in satisfactory condition  cord bloods were taken  placenta was delivered spontaneously and found to be intact  uterus was explored and found to be empty  uterus was delivered through the abdominal incision and massaged vigorously  intravenous pitocin was administered  t clamps were placed about the margins of the uterine incision  which was closed primarily with a running locking stitch of 0 vicryl with adequ,medical transcript
